TIME_PERIOD,JPN,KOR,USA,GBR,AUS,FRA,ITA,CAN
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,1.3,4.2,0.7,0.2,-0.4,1.2,0.8,0.4
1992,1.5,9.1,3.0,2.2,1.6,2.2,0.7,1.8
1993,0.7,15.8,2.4,3.9,2.6,3.5,-0.8,1.6
1994,1.7,18.5,2.0,5.7,3.2,4.0,-2.1,0.5
1995,2.9,30.6,2.6,5.7,2.9,5.6,-4.2,0.2
1996,3.3,36.8,4.1,5.7,5.8,6.0,-3.4,1.1
1997,3.7,34.0,6.7,9.8,9.1,7.3,-0.7,4.2
1998,2.1,32.8,11.1,11.4,10.7,8.8,-0.3,6.0
1999,1.2,34.6,14.0,16.9,13.2,11.1,0.8,6.8
2000,2.2,35.6,17.9,22.5,13.5,12.0,0.8,10.1
2001,0.9,40.7,18.8,27.7,14.6,12.7,1.5,9.6
2002,-1.2,45.7,19.7,28.9,15.7,15.8,0.6,8.7
2003,-1.0,50.9,21.0,33.0,17.3,16.9,0.1,8.8
2004,0.4,54.3,23.2,36.9,21.0,18.7,2.1,11.1
2005,2.9,59.2,23.4,38.3,22.4,20.4,3.2,14.3
2006,2.9,61.5,25.2,40.7,23.2,21.7,3.8,17.8
2007,3.2,64.9,27.6,46.9,26.7,22.3,3.6,21.0
2008,2.8,64.5,27.3,42.9,27.6,22.0,3.6,23.1
2009,1.3,64.7,28.5,42.5,26.3,26.0,4.2,23.9
2010,1.3,68.0,29.7,43.2,30.8,28.3,5.1,24.1
2011,1.6,70.0,29.9,40.3,35.2,28.5,3.5,25.8
2012,1.8,67.0,31.0,39.2,36.1,29.3,0.2,27.5
2013,2.4,70.8,30.4,40.1,35.7,30.5,0.5,28.8
2014,1.4,71.1,32.4,40.7,37.0,31.4,1.0,30.3
2015,0.5,75.5,35.8,42.6,36.2,32.4,1.9,31.3
2016,1.1,80.4,36.0,44.3,36.9,33.8,2.3,28.8
2017,0.6,84.1,37.5,45.3,36.5,35.6,1.4,30.8
2018,2.0,90.4,39.2,45.6,37.0,35.0,0.8,33.2
2019,2.5,96.9,41.7,47.6,38.3,36.4,1.1,33.9
2020,1.0,101.4,50.2,45.5,41.3,29.8,-3.8,38.2
2021,2.0,102.9,52.9,47.6,42.9,35.4,1.1,38.9
2022,0.7,99.0,48.5,44.6,39.7,35.9,-1.9,36.7
2023,-1.6,100.7,47.9,43.5,38.2,32.7,-4.1,36.1
2024,-0.7,106.5,50.9,46.2,37.8,33.2,-3.2,37.6
2025,-1.2,107.7,53.4,47.2,39.3,34.6,-2.1,37.9
